Date,Open,High,Low,Close,Volume,Adj Close
2015-12-17,106.112,106.112,106.112,106.112,000,106.08746
2015-12-16,114.181,114.181,114.181,114.181,000,114.15459
2015-12-15,109.192,109.192,109.192,109.192,000,109.16675
2015-12-14,109.008,109.008,109.008,109.008,000,108.98279
2015-12-11,116.494,116.494,116.494,116.494,000,116.46706
2015-12-10,115.986,115.986,115.986,115.986,000,115.95918
2015-12-09,115.885,115.885,115.885,115.885,000,115.8582
2015-12-08,113.885,113.885,113.885,113.885,000,113.85866
2015-12-07,115.448,115.448,115.448,115.448,000,115.4213
2015-12-04,121.438,121.438,121.438,121.438,000,121.40992
2015-12-03,114.321,114.321,114.321,114.321,000,114.29456
2015-12-02,111.823,111.823,111.823,111.823,000,111.79714
2015-12-01,114.45,114.45,114.45,114.45,000,114.42353
2015-11-30,110.788,110.788,110.788,110.788,000,110.76238
2015-11-27,107.479,107.479,107.479,107.479,000,107.45414
2015-11-26,110.302,110.302,110.302,110.302,000,110.27649
2015-11-25,110.302,110.302,110.302,110.302,000,110.27649
2015-11-24,110.713,110.713,110.713,110.713,000,110.68739
2015-11-23,106.089,106.089,106.089,106.089,000,106.06446
2015-11-20,107.214,107.214,107.214,107.214,000,107.1892
2015-11-19,111.687,111.687,111.687,111.687,000,111.66117
2015-11-18,108.047,108.047,108.047,108.047,000,108.02201
2015-11-17,104.04,104.04,104.04,104.04,000,104.01594
2015-11-16,110.094,110.094,110.094,110.094,000,110.06854
2015-11-13,109.197,109.197,109.197,109.197,000,109.17175
2015-11-12,108.194,108.194,108.194,108.194,000,108.16898
2015-11-11,110.122,110.122,110.122,110.122,000,110.09653
2015-11-10,109.052,109.052,109.052,109.052,000,109.02678
2015-11-09,112.211,112.211,112.211,112.211,000,112.18505
2015-11-06,109.455,109.455,109.455,109.455,000,109.42969
2015-11-05,114.242,114.242,114.242,114.242,000,114.21558
2015-11-04,119.376,119.376,119.376,119.376,000,119.34839
2015-11-03,123.029,123.029,123.029,123.029,000,123.00055
2015-11-02,123.969,123.969,123.969,123.969,000,123.94033
2015-10-30,122.70,122.70,122.70,122.70,000,122.67162
2015-10-29,125.50,125.50,125.50,125.50,000,125.47098
2015-10-28,130.31,130.31,130.31,130.31,000,130.27986
2015-10-27,131.98199,131.98199,131.98199,131.98199,000,131.95147
2015-10-26,130.758,130.758,130.758,130.758,000,130.72776
2015-10-23,135.948,135.948,135.948,135.948,000,135.91656
2015-10-22,131.832,131.832,131.832,131.832,000,131.80151
2015-10-21,129.12601,129.12601,129.12601,129.12601,000,129.09614
2015-10-20,134.308,134.308,134.308,134.308,000,134.27694
2015-10-19,128.60699,128.60699,128.60699,128.60699,000,128.57725
2015-10-16,134.11501,134.11501,134.11501,134.11501,000,134.08399
2015-10-15,138.44099,138.44099,138.44099,138.44099,000,138.40898
2015-10-14,139.082,139.082,139.082,139.082,000,139.04984
2015-10-13,129.082,129.082,129.082,129.082,000,129.05215
2015-10-12,128.586,128.586,128.586,128.586,000,128.55626
2015-10-09,133.36,133.36,133.36,133.36,000,133.32916
2015-10-08,125.552,125.552,125.552,125.552,000,125.52297
2015-10-07,126.244,126.244,126.244,126.244,000,126.21481
2015-10-06,125.844,125.844,125.844,125.844,000,125.8149
2015-10-05,120.659,120.659,120.659,120.659,000,120.63109
2015-10-02,114.691,114.691,114.691,114.691,000,114.66448
2015-10-01,105.882,105.882,105.882,105.882,000,105.85752
2015-09-30,108.424,108.424,108.424,108.424,000,108.39893
2015-09-29,105.219,105.219,105.219,105.219,000,105.19467
2015-09-28,105.277,105.277,105.277,105.277,000,105.25265
2015-09-25,111.367,111.367,111.367,111.367,000,111.34124
2015-09-24,112.915,112.915,112.915,112.915,000,112.88889
2015-09-23,104.741,104.741,104.741,104.741,000,104.71677
2015-09-22,106.188,106.188,106.188,106.188,000,106.16345
2015-09-21,112.371,112.371,112.371,112.371,000,112.34501
2015-09-18,116.102,116.102,116.102,116.102,000,116.07515
2015-09-17,114.55,114.55,114.55,114.55,000,114.52351
2015-09-16,111.761,111.761,111.761,111.761,000,111.73516
2015-09-15,104.971,104.971,104.971,104.971,000,104.94672
2015-09-14,105.222,105.222,105.222,105.222,000,105.19767
2015-09-11,107.236,107.236,107.236,107.236,000,107.2112
2015-09-10,106.516,106.516,106.516,106.516,000,106.49137
2015-09-09,106.681,106.681,106.681,106.681,000,106.65633
2015-09-08,109.955,109.955,109.955,109.955,000,109.92957
2015-09-07,108.663,108.663,108.663,108.663,000,108.63787
